"DS1TCOPP.Code.or.Value","DS1TCOPP.Value.Description","DS1TCOPP.Count","DS1TCOPP.Cumulative","DS1TCOPP.Skip.to.Item"
"0 to 20.3","Range of Values",1420,1420,NA
".","Missing",8833,10253,NA
