"TYXP209.Code.or.Value","TYXP209.Value.Description","TYXP209.Count","TYXP209.Cumulative","TYXP209.Skip.to.Item"
"-297 to 96","Range of Values",297,297,NA
".","Missing",5288,5585,NA
