"PFD069F.Code.or.Value","PFD069F.Value.Description","PFD069F.Count","PFD069F.Cumulative","PFD069F.Skip.to.Item"
"30 to 18250","Range of Values",133,133,NA
"66666","Since birth",1,134,NA
"77777","Refused",0,134,NA
"99999","Don't know",1,135,NA
".","Missing",10335,10470,NA
