"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 13.917","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
