"DR2TATOC.Code.or.Value","DR2TATOC.Value.Description","DR2TATOC.Count","DR2TATOC.Cumulative","DR2TATOC.Skip.to.Item"
"0 to 72.73","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
