"CBQ551.Code.or.Value","CBQ551.Value.Description","CBQ551.Count","CBQ551.Cumulative","CBQ551.Skip.to.Item"
"1","Yes",1256,1256,""
"2","No",409,1665,"CBQ830"
"7","Refused",0,1665,""
"9","Don't know",0,1665,""
".","Missing",380,2045,""
