"AUXRR170.Code.or.Value","AUXRR170.Value.Description","AUXRR170.Count","AUXRR170.Cumulative","AUXRR170.Skip.to.Item"
"-40 to 67","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
