"WBXP067.Code.or.Value","WBXP067.Value.Description","WBXP067.Count","WBXP067.Cumulative","WBXP067.Skip.to.Item"
"-98.4995 to 152.0282","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
