"DXXPT93Y.Code.or.Value","DXXPT93Y.Value.Description","DXXPT93Y.Count","DXXPT93Y.Cumulative","DXXPT93Y.Skip.to.Item"
"150.6 to 380.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
