"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",26080,26080,NA
"2","Monday",12097,38177,NA
"3","Tuesday",8662,46839,NA
"4","Wednesday",11982,58821,NA
"5","Thursday",16274,75095,NA
"6","Friday",38025,113120,NA
"7","Saturday",33820,146940,NA
".","Missing",0,146940,NA
