"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",1246,1246,NA
"1","Below lower detection limit",1142,2388,NA
".","Missing",74,2462,NA
