"DXXPT75X.Code.or.Value","DXXPT75X.Value.Description","DXXPT75X.Count","DXXPT75X.Cumulative","DXXPT75X.Skip.to.Item"
"402.5 to 989.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
