"AUXRR107.Code.or.Value","AUXRR107.Value.Description","AUXRR107.Count","AUXRR107.Cumulative","AUXRR107.Skip.to.Item"
"-46 to 86","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
