"DRXTM221.Code.or.Value","DRXTM221.Value.Description","DRXTM221.Count","DRXTM221.Cumulative","DRXTM221.Skip.to.Item"
"0 to 25.315","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
