"OCQ290Q.Code.or.Value","OCQ290Q.Value.Description","OCQ290Q.Count","OCQ290Q.Cumulative","OCQ290Q.Skip.to.Item"
"0 to 20","Range of Values",714,714,NA
"7777","Refused",0,714,NA
"9999","Don't know",3,717,NA
".","Missing",5422,6139,NA
