"DRD350AQ.Code.or.Value","DRD350AQ.Value.Description","DRD350AQ.Count","DRD350AQ.Cumulative","DRD350AQ.Skip.to.Item"
"1 to 8","Range of Values",137,137,NA
".","Missing",10340,10477,NA
