"LBXF05.Code.or.Value","LBXF05.Value.Description","LBXF05.Count","LBXF05.Cumulative","LBXF05.Skip.to.Item"
"5.44 to 242.8","Range of Values",1868,1868,NA
".","Missing",417,2285,NA
