"DXXSPY.Code.or.Value","DXXSPY.Value.Description","DXXSPY.Count","DXXSPY.Cumulative","DXXSPY.Skip.to.Item"
"0 to 3","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
