"AUDTYR41.Code.or.Value","AUDTYR41.Value.Description","AUDTYR41.Count","AUDTYR41.Cumulative","AUDTYR41.Skip.to.Item"
"0 to 3.53","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
