"LBXSTB.Code.or.Value","LBXSTB.Value.Description","LBXSTB.Count","LBXSTB.Cumulative","LBXSTB.Skip.to.Item"
"0.1 to 3.7","Range of Values",5903,5903,NA
".","Missing",498,6401,NA
