"SXQ639.Code.or.Value","SXQ639.Value.Description","SXQ639.Count","SXQ639.Cumulative","SXQ639.Skip.to.Item"
"0 to 23","Range of Values",1453,1453,NA
"77777","Refused",1,1454,NA
"99999","Don't know",1,1455,NA
".","Missing",3388,4843,NA
