"DR2_020.Code.or.Value","DR2_020.Value.Description","DR2_020.Count","DR2_020.Cumulative","DR2_020.Skip.to.Item"
"00:00 to 23:59","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
