"DS1IVB2.Code.or.Value","DS1IVB2.Value.Description","DS1IVB2.Count","DS1IVB2.Cumulative","DS1IVB2.Skip.to.Item"
"0.051 to 300","Range of Values",1341,1341,NA
".","Missing",4029,5370,NA
