"PAQ520.Code.or.Value","PAQ520.Value.Description","PAQ520.Count","PAQ520.Cumulative","PAQ520.Skip.to.Item"
"1","more active",2532,2532,NA
"2","less active, or",1351,3883,NA
"3","About the same?",3279,7162,NA
"7","Refused",2,7164,NA
"9","Don't Know",74,7238,NA
".","Missing",2040,9278,NA
