"DS2ICHL.Code.or.Value","DS2ICHL.Value.Description","DS2ICHL.Count","DS2ICHL.Cumulative","DS2ICHL.Skip.to.Item"
"0.003 to 500","Range of Values",365,365,NA
".","Missing",5233,5598,NA
