"URDFLOW3.Code.or.Value","URDFLOW3.Value.Description","URDFLOW3.Count","URDFLOW3.Cumulative","URDFLOW3.Skip.to.Item"
"0.097 to 5.345","Range of Values",33,33,NA
".","Missing",7903,7936,NA
