"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",8872,8872,NA
"2","Spanish",779,9651,NA
".","Missing",105,9756,NA
