"OSQ070.Code.or.Value","OSQ070.Value.Description","OSQ070.Count","OSQ070.Cumulative","OSQ070.Skip.to.Item"
"1","Yes",279,279,NA
"2","No",114,393,NA
"7","Refused",0,393,NA
"9","Don't know",2,395,NA
".","Missing",5540,5935,NA
