"DXXAL1AN.Code.or.Value","DXXAL1AN.Value.Description","DXXAL1AN.Count","DXXAL1AN.Cumulative","DXXAL1AN.Skip.to.Item"
"0 to 3","Range of Values",3236,3236,NA
".","Missing",472,3708,NA
