"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",665,665,NA
"2","Usual",6477,7142,NA
"3","Much less than usual",1240,8382,NA
"7","Refused",0,8382,NA
"9","Don't know",19,8401,NA
".","Missing",1242,9643,NA
