"TYXA040.Code.or.Value","TYXA040.Value.Description","TYXA040.Count","TYXA040.Cumulative","TYXA040.Skip.to.Item"
"0.243 to 8.89","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
