"URDDPMLC.Code.or.Value","URDDPMLC.Value.Description","URDDPMLC.Count","URDDPMLC.Cumulative","URDDPMLC.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",2462,2471,NA
".","Missing",284,2755,NA
