"LBXHCBLA.Code.or.Value","LBXHCBLA.Value.Description","LBXHCBLA.Count","LBXHCBLA.Cumulative","LBXHCBLA.Skip.to.Item"
"1.5556 to 174","Range of Values",1961,1961,NA
".","Missing",376,2337,NA
