"MCQ053.Code.or.Value","MCQ053.Value.Description","MCQ053.Count","MCQ053.Cumulative","MCQ053.Skip.to.Item"
"1","Yes",289,289,NA
"2","No",9063,9352,NA
"7","Refused",1,9353,NA
"9","Don't know",10,9363,NA
".","Missing",1,9364,NA
