"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"1 to 25","Range of Values",955,955,NA
".","Missing",4086,5041,NA
