"CIQG23.Code.or.Value","CIQG23.Value.Description","CIQG23.Count","CIQG23.Cumulative","CIQG23.Skip.to.Item"
"1","Past Month",29,29,NA
"2","Past 6 Months",26,55,NA
"3","Over 6 Months",24,79,NA
"7","Refused",0,79,NA
"9","Don't know",0,79,NA
".","Missing",849,928,NA
