"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"0.155 to 12.982","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
