"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2098.5262571 to 260712.84679","Range of Values",129141,129141,NA
".","Missing",0,129141,NA
