"WTSCI13.Code.or.Value","WTSCI13.Value.Description","WTSCI13.Count","WTSCI13.Cumulative","WTSCI13.Skip.to.Item"
"0 to 457478.98045","Range of Values",727,727,NA
".","Missing",51,778,NA
