"SPXBFEV1.Code.or.Value","SPXBFEV1.Value.Description","SPXBFEV1.Count","SPXBFEV1.Cumulative","SPXBFEV1.Skip.to.Item"
"687 to 5431","Range of Values",611,611,NA
".","Missing",7132,7743,NA
