"DXXPT61X.Code.or.Value","DXXPT61X.Value.Description","DXXPT61X.Count","DXXPT61X.Cumulative","DXXPT61X.Skip.to.Item"
"104.8 to 741.4","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
