"LBDNFOSL.Code.or.Value","LBDNFOSL.Value.Description","LBDNFOSL.Count","LBDNFOSL.Cumulative","LBDNFOSL.Skip.to.Item"
"0","At or above the detection limit",1982,1982,NA
"1","Below lower detection limit",11,1993,NA
".","Missing",177,2170,NA
