"PAQ560.Code.or.Value","PAQ560.Value.Description","PAQ560.Count","PAQ560.Cumulative","PAQ560.Skip.to.Item"
"0 to 77","Range of Values",2192,2192,NA
"77777","Refused",0,2192,NA
"99999","Don't know",4,2196,NA
".","Missing",7228,9424,NA
