"WHD080A.Code.or.Value","WHD080A.Value.Description","WHD080A.Count","WHD080A.Cumulative","WHD080A.Skip.to.Item"
"10","Ate less food (amount)",1449,1449,NA
"77","Refused",0,1449,NA
"99","Don't know",1,1450,NA
".","Missing",4763,6213,NA
