"LBXT3F.Code.or.Value","LBXT3F.Value.Description","LBXT3F.Count","LBXT3F.Cumulative","LBXT3F.Skip.to.Item"
"1.8 to 20.7","Range of Values",6262,6262,NA
".","Missing",655,6917,NA
