"DR2TP183.Code.or.Value","DR2TP183.Value.Description","DR2TP183.Count","DR2TP183.Cumulative","DR2TP183.Skip.to.Item"
"0 to 16.128","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
