"SSNFOS.Code.or.Value","SSNFOS.Value.Description","SSNFOS.Count","SSNFOS.Cumulative","SSNFOS.Skip.to.Item"
"0.07 to 0.6","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
