"SMQ878.Code.or.Value","SMQ878.Value.Description","SMQ878.Count","SMQ878.Cumulative","SMQ878.Skip.to.Item"
"1","Yes",5678,5678,NA
"2","No",4426,10104,NA
"7","Refused",0,10104,NA
"9","Don't know",1,10105,NA
".","Missing",70,10175,NA
