"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",158,158,""
"2","No",3601,3759,"DRD350F"
".","Missing",6003,9762,""
