"DS1TVC.Code.or.Value","DS1TVC.Value.Description","DS1TVC.Count","DS1TVC.Cumulative","DS1TVC.Skip.to.Item"
"1.3 to 10000","Range of Values",2080,2080,NA
".","Missing",8173,10253,NA
