"DXXL3BMC.Code.or.Value","DXXL3BMC.Value.Description","DXXL3BMC.Count","DXXL3BMC.Cumulative","DXXL3BMC.Skip.to.Item"
"5.93 to 37.34","Range of Values",2735,2735,NA
".","Missing",973,3708,NA
