"DR1TNUMF.Code.or.Value","DR1TNUMF.Value.Description","DR1TNUMF.Count","DR1TNUMF.Cumulative","DR1TNUMF.Skip.to.Item"
"0 to 52","Range of Values",9255,9255,NA
".","Missing",507,9762,NA
