"BIXC421K.Code.or.Value","BIXC421K.Value.Description","BIXC421K.Count","BIXC421K.Cumulative","BIXC421K.Skip.to.Item"
"6.83 to 156.53","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
