"RDQ080.Code.or.Value","RDQ080.Value.Description","RDQ080.Count","RDQ080.Cumulative","RDQ080.Skip.to.Item"
"1 to 12","Range of Values",1179,1179,NA
"7777","Refused",0,1179,NA
"9999","Don't know",35,1214,NA
".","Missing",8279,9493,NA
