"BPQ090C.Code.or.Value","BPQ090C.Value.Description","BPQ090C.Count","BPQ090C.Cumulative","BPQ090C.Skip.to.Item"
"1","Yes",1300,1300,NA
"2","No",604,1904,NA
"7","Refused",0,1904,NA
"9","Don't know",2,1906,NA
".","Missing",4640,6546,NA
