"AUXLR273.Code.or.Value","AUXLR273.Value.Description","AUXLR273.Count","AUXLR273.Cumulative","AUXLR273.Skip.to.Item"
"-22 to 44","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
