"TBQ010.Code.or.Value","TBQ010.Value.Description","TBQ010.Count","TBQ010.Cumulative","TBQ010.Skip.to.Item"
"1","Yes",6265,6265,""
"2","No",2822,9087,"TBQ040"
"7","Refused",4,9091,"TBQ040"
"9","Don't know",397,9488,"TBQ040"
".","Missing",5,9493,""
