"MCQ160A.Code.or.Value","MCQ160A.Value.Description","MCQ160A.Count","MCQ160A.Cumulative","MCQ160A.Skip.to.Item"
"1","Yes",1755,1755,""
"2","No",4170,5925,"MCQ160N"
"7","Refused",0,5925,"MCQ160N"
"9","Don't know",10,5935,"MCQ160N"
".","Missing",3731,9666,""
