"TYXP229.Code.or.Value","TYXP229.Value.Description","TYXP229.Count","TYXP229.Cumulative","TYXP229.Skip.to.Item"
"-298 to -27","Range of Values",249,249,NA
".","Missing",8220,8469,NA
