"MPQ120l.Code.or.Value","MPQ120l.Value.Description","MPQ120l.Count","MPQ120l.Cumulative","MPQ120l.Skip.to.Item"
"21","Upper back - left",90,90,NA
".","Missing",4790,4880,NA
