"DSQIIRON.Code.or.Value","DSQIIRON.Value.Description","DSQIIRON.Count","DSQIIRON.Cumulative","DSQIIRON.Skip.to.Item"
"0.0667 to 500","Range of Values",1145,1145,NA
".","Missing",8414,9559,NA
