"WBXF100.Code.or.Value","WBXF100.Value.Description","WBXF100.Count","WBXF100.Cumulative","WBXF100.Skip.to.Item"
"6535.6618 to 6535.6618","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
