"WTSPH14.Code.or.Value","WTSPH14.Value.Description","WTSPH14.Count","WTSPH14.Cumulative","WTSPH14.Skip.to.Item"
"0.0000000 to 800794.0390600","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
