"LBDF07LC.Code.or.Value","LBDF07LC.Value.Description","LBDF07LC.Count","LBDF07LC.Cumulative","LBDF07LC.Skip.to.Item"
"0","At or above the detection limit",191,191,NA
"1","Below lower detection limit",55,246,NA
".","Missing",1,247,NA
